DISTRICT_ID,NAME
1,Ciutat vella
2,Eixample
3,Sants Montjuic
4,Les Corts
5,Sarrià Sant Gervasi
6,Gracia
7,Horta guinardó
8,Nou barris
9,Sant Andreu
10,Sant Martí
